
4 digit prime number : 1009
i = 1 	 Li = 69383 	 Ri = 771 
i = 79 	 Li = 90873 	 Ri = 1002 
i = 80 	 Li = 17637 	 Ri = 76 
i = 81 	 Li = 54289 	 Ri = 573 
i = 82 	 Li = 80483 	 Ri = 942 
i = 83 	 Li = 46607 	 Ri = 122 
i = 84 	 Li = 90478 	 Ri = 607 
i = 85 	 Li = 12757 	 Ri = 361 
i = 86 	 Li = 69314 	 Ri = 103 
i = 87 	 Li = 34471 	 Ri = 382 
i = 88 	 Li = 25729 	 Ri = 937 
i = 89 	 Li = 81100 	 Ri = 526 
i = 90 	 Li = 83459 	 Ri = 819 
i = 91 	 Li = 63618 	 Ri = 605 
i = 92 	 Li = 29438 	 Ri = 514 
i = 93 	 Li = 68025 	 Ri = 880 
i = 94 	 Li = 21388 	 Ri = 728 
i = 95 	 Li = 83074 	 Ri = 434 
i = 96 	 Li = 31233 	 Ri = 243 
i = 97 	 Li = 88157 	 Ri = 352 
i = 98 	 Li = 23681 	 Ri = 955 
i = 99 	 Li = 93493 	 Ri = 523 
i = 100 	 Li = 30358 	 Ri = 401 

4 digit prime number : 1039
i = 1 	 Li = 80270 	 Ri = 267 
i = 2 	 Li = 20699 	 Ri = 958 
i = 3 	 Li = 23417 	 Ri = 559 
i = 4 	 Li = 21839 	 Ri = 20 
i = 5 	 Li = 85569 	 Ri = 371 
i = 6 	 Li = 68363 	 Ri = 828 
i = 7 	 Li = 52622 	 Ri = 672 
i = 8 	 Li = 18794 	 Ri = 92 
i = 9 	 Li = 63173 	 Ri = 833 
i = 10 	 Li = 49847 	 Ri = 1014 
i = 11 	 Li = 26431 	 Ri = 456 
i = 12 	 Li = 17462 	 Ri = 838 
i = 13 	 Li = 36682 	 Ri = 317 
i = 14 	 Li = 69390 	 Ri = 816 
i = 15 	 Li = 14292 	 Ri = 785 
i = 16 	 Li = 45791 	 Ri = 75 
i = 17 	 Li = 45057 	 Ri = 380 
i = 18 	 Li = 45115 	 Ri = 438 
i = 19 	 Li = 61521 	 Ri = 220 
i = 20 	 Li = 26157 	 Ri = 182 
i = 21 	 Li = 28574 	 Ri = 521 
i = 22 	 Li = 31491 	 Ri = 321 
i = 23 	 Li = 51947 	 Ri = 1036 
i = 24 	 Li = 92951 	 Ri = 480 
i = 25 	 Li = 49231 	 Ri = 398 
i = 26 	 Li = 35021 	 Ri = 734 
i = 27 	 Li = 30537 	 Ri = 406 
i = 28 	 Li = 43740 	 Ri = 102 
i = 29 	 Li = 55054 	 Ri = 1026 
i = 30 	 Li = 24030 	 Ri = 133 
i = 31 	 Li = 64098 	 Ri = 719 
i = 32 	 Li = 35325 	 Ri = 1038 
i = 33 	 Li = 41081 	 Ri = 560 
i = 34 	 Li = 77516 	 Ri = 630 
i = 35 	 Li = 53516 	 Ri = 527 
i = 36 	 Li = 33002 	 Ri = 793 
i = 37 	 Li = 52231 	 Ri = 281 
i = 38 	 Li = 96139 	 Ri = 551 
i = 39 	 Li = 41796 	 Ri = 236 
i = 40 	 Li = 15404 	 Ri = 858 
i = 41 	 Li = 52338 	 Ri = 388 
i = 42 	 Li = 64580 	 Ri = 162 
i = 43 	 Li = 29218 	 Ri = 126 
i = 44 	 Li = 79021 	 Ri = 57 
i = 45 	 Li = 33970 	 Ri = 722 
i = 46 	 Li = 39862 	 Ri = 380 
i = 47 	 Li = 24812 	 Ri = 915 
i = 48 	 Li = 75379 	 Ri = 571 
i = 49 	 Li = 74977 	 Ri = 169 
i = 50 	 Li = 82685 	 Ri = 604 
i = 51 	 Li = 91536 	 Ri = 104 
i = 52 	 Li = 99904 	 Ri = 160 
i = 53 	 Li = 14176 	 Ri = 669 
i = 54 	 Li = 43483 	 Ri = 884 
i = 55 	 Li = 99207 	 Ri = 502 
i = 56 	 Li = 59759 	 Ri = 536 
i = 57 	 Li = 74857 	 Ri = 49 
i = 58 	 Li = 29744 	 Ri = 652 
i = 59 	 Li = 93499 	 Ri = 1028 
i = 60 	 Li = 29911 	 Ri = 819 
i = 61 	 Li = 50127 	 Ri = 255 
i = 62 	 Li = 63950 	 Ri = 571 
i = 63 	 Li = 55236 	 Ri = 169 
i = 64 	 Li = 87560 	 Ri = 284 
i = 65 	 Li = 47818 	 Ri = 24 
i = 66 	 Li = 15105 	 Ri = 559 
i = 67 	 Li = 20563 	 Ri = 822 
i = 68 	 Li = 90049 	 Ri = 695 
i = 69 	 Li = 11244 	 Ri = 854 
i = 70 	 Li = 58711 	 Ri = 527 
i = 71 	 Li = 11805 	 Ri = 376 
i = 72 	 Li = 59934 	 Ri = 711 
i = 73 	 Li = 23291 	 Ri = 433 
i = 74 	 Li = 37375 	 Ri = 1010 
i = 75 	 Li = 38955 	 Ri = 512 
i = 76 	 Li = 53614 	 Ri = 625 
i = 77 	 Li = 73589 	 Ri = 859 
i = 78 	 Li = 53768 	 Ri = 779 
i = 79 	 Li = 28993 	 Ri = 940 
i = 80 	 Li = 54918 	 Ri = 890 
i = 81 	 Li = 42805 	 Ri = 206 
i = 82 	 Li = 26882 	 Ri = 907 
i = 83 	 Li = 54822 	 Ri = 794 
i = 84 	 Li = 46982 	 Ri = 227 
i = 85 	 Li = 66717 	 Ri = 221 
i = 86 	 Li = 54030 	 Ri = 2 
i = 87 	 Li = 13093 	 Ri = 625 
i = 88 	 Li = 41574 	 Ri = 14 
i = 89 	 Li = 80126 	 Ri = 123 
i = 90 	 Li = 96593 	 Ri = 1005 
i = 91 	 Li = 61486 	 Ri = 185 
i = 92 	 Li = 30253 	 Ri = 122 
i = 93 	 Li = 60543 	 Ri = 281 
i = 94 	 Li = 23074 	 Ri = 216 
i = 95 	 Li = 17814 	 Ri = 151 
i = 96 	 Li = 14713 	 Ri = 167 
i = 97 	 Li = 28179 	 Ri = 126 
i = 98 	 Li = 28377 	 Ri = 324 
i = 99 	 Li = 94762 	 Ri = 213 
i = 100 	 Li = 35775 	 Ri = 449 
